id_user	mp3_file	text
000001	0000000.mp3	 numele meu este corina dabija am treizeci și doi de ani și sunt mămica a unei fetițe de patru ani care a fost maltratată intr-o instituție preșcolară
000002	0000001.mp3	 eu sunt Max și sunt student in anul trei la psihologie
000003	0000002.mp3	 mă numesc Bădărău Elena sunt ofițer superior al secției interacțiune comunitară al secției securitate publică al inspectorat de poliție Călărași inspector superior 
000004	0000003.mp3	 Mă numesc Ana Untilă 
000004	0000004.mp3	 Sunt mama a trei copii 
000004	0000005.mp3	 Toată ocupația mea se învârte în jurul a trei copii 
000005	0000006.mp3	 Mă numesc Aurel Obreja 
000005	0000007.mp3	 Sunt fotograf 
000005	0000008.mp3	 Sunt tată biologic la trei copii dar de facto patru copii 
000001	0000009.mp3	 Am o fetiță foarte dulce care până la doi ani și jumătate a stat cu mine acasă 
000001	0000010.mp3	 moment în care am decis că este timpul să mergem la o grădiniță ca să se adapteze în societate 
000001	0000011.mp3	 Inițial am mers la o grădiniță de stat dar cumva nu a existat chimie între ea și educatoarea de acolo în sensul în care ea refuza somnul de amiază clasic cum fac toți copiii 
000001	0000012.mp3	 Și noi am decis că nu o să-i forțăm mâna și-o să mergem la o altă instituție privată de învățământ 
000001	0000013.mp3	 Au fost zece luni în care am frecventat într-o perioadă destul de tumultoasă și pentru ea și pentru noi 
000001	0000014.mp3	 Dacă încep de la bun început ne-au promis din start o perioadă de adaptare ușoară 
000001	0000015.mp3	 Și într-adevăr la a patra zi de adaptare copilul a rămas pentru somnul de amiază 
000001	0000016.mp3	 Toate mămicile știu ce înseamnă această etapă asta e botezul de foc să vrea copilul să rămână acolo 
000001	0000017.mp3	 După patru zile de adaptare copilul a rămas la somn noi eram încântați că puteam să mergem deja toată ziua la muncă și să nu fim stresați de apeluri că uite trebuie să vin să-mi iau copilul 
000001	0000018.mp3	 Peste două săptămâni după adaptare am început să vedem că fetița este un pic tensionată 
000002	0000019.mp3	 Eu am fost bătut când eram mic 
